PATCH DIRECTORY /home/user/project/_local/setups/firefox/firefox/updates/0
INSTALLATION DIRECTORY /home/user/project/_local/setups/firefox/firefox
WORKING DIRECTORY /home/user/project/_local/setups/firefox/firefox
UPDATE TYPE partial
PREPARE PATCH updater
PREPARE ADD removed-files
PREPARE ADD precomplete
PREPARE PATCH plugin-container.sig
PREPARE PATCH plugin-container
PREPARE PATCH platform.ini
PREPARE PATCH pingsender
PREPARE PATCH omni.ja
PREPARE PATCH minidump-analyzer
PREPARE PATCH libxul.so.sig
PREPARE PATCH libxul.so
PREPARE PATCH libssl3.so
PREPARE PATCH libsoftokn3.so
PREPARE ADD libsoftokn3.chk
PREPARE PATCH libsmime3.so
PREPARE PATCH libplds4.so
PREPARE PATCH libnssutil3.so
PREPARE PATCH libnssdbm3.so
PREPARE ADD libnssdbm3.chk
PREPARE PATCH libnssckbi.so
PREPARE PATCH libnss3.so
PREPARE PATCH libnspr4.so
PREPARE PATCH libmozsqlite3.so
PREPARE PATCH libmozsandbox.so
PREPARE PATCH libmozgtk.so
PREPARE PATCH libmozavutil.so
PREPARE PATCH libmozavcodec.so
PREPARE PATCH liblgpllibs.so
PREPARE PATCH libfreeblpriv3.so
PREPARE ADD libfreeblpriv3.chk
PREPARE PATCH gtk2/libmozgtk.so
PREPARE PATCH gmp-clearkey/0.1/libclearkey.so.sig
PREPARE PATCH gmp-clearkey/0.1/libclearkey.so
PREPARE PATCH firefox.sig
PREPARE PATCH firefox-bin.sig
PREPARE PATCH firefox-bin
PREPARE PATCH firefox
PREPARE PATCH dictionaries/en-US.dic
PREPARE PATCH crashreporter
PREPARE ADD chrome.manifest
PREPARE PATCH browser/omni.ja
PREPARE PATCH browser/features/webcompat@mozilla.org.xpi
PREPARE PATCH browser/features/screenshots@mozilla.org.xpi
PREPARE PATCH browser/features/onboarding@mozilla.org.xpi
PREPARE PATCH browser/features/formautofill@mozilla.org.xpi
PREPARE PATCH browser/features/followonsearch@mozilla.com.xpi
PREPARE PATCH browser/features/firefox@getpocket.com.xpi
PREPARE PATCH browser/features/aushelper@mozilla.org.xpi
PREPARE PATCH browser/features/activity-stream@mozilla.org.xpi
PREPARE PATCH browser/blocklist.xml
PREPARE PATCH application.ini
PREPARE ADD fonts/TwemojiMozilla.ttf
PREPARE ADD browser/features/webcompat-reporter@mozilla.org.xpi
PREPARE REMOVEFILE fonts/EmojiOneMozilla.ttf
PREPARE REMOVEFILE browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
PREPARE REMOVEDIR browser/extensions/
EXECUTE PATCH updater
EXECUTE ADD removed-files
EXECUTE ADD precomplete
EXECUTE PATCH plugin-container.sig
EXECUTE PATCH plugin-container
EXECUTE PATCH platform.ini
EXECUTE PATCH pingsender
EXECUTE PATCH omni.ja
EXECUTE PATCH minidump-analyzer
EXECUTE PATCH libxul.so.sig
EXECUTE PATCH libxul.so
EXECUTE PATCH libssl3.so
EXECUTE PATCH libsoftokn3.so
EXECUTE ADD libsoftokn3.chk
EXECUTE PATCH libsmime3.so
EXECUTE PATCH libplds4.so
EXECUTE PATCH libnssutil3.so
EXECUTE PATCH libnssdbm3.so
EXECUTE ADD libnssdbm3.chk
EXECUTE PATCH libnssckbi.so
EXECUTE PATCH libnss3.so
EXECUTE PATCH libnspr4.so
EXECUTE PATCH libmozsqlite3.so
EXECUTE PATCH libmozsandbox.so
EXECUTE PATCH libmozgtk.so
EXECUTE PATCH libmozavutil.so
EXECUTE PATCH libmozavcodec.so
EXECUTE PATCH liblgpllibs.so
EXECUTE PATCH libfreeblpriv3.so
EXECUTE ADD libfreeblpriv3.chk
EXECUTE PATCH gtk2/libmozgtk.so
EXECUTE PATCH gmp-clearkey/0.1/libclearkey.so.sig
EXECUTE PATCH gmp-clearkey/0.1/libclearkey.so
EXECUTE PATCH firefox.sig
EXECUTE PATCH firefox-bin.sig
EXECUTE PATCH firefox-bin
EXECUTE PATCH firefox
EXECUTE PATCH dictionaries/en-US.dic
EXECUTE PATCH crashreporter
EXECUTE ADD chrome.manifest
EXECUTE PATCH browser/omni.ja
EXECUTE PATCH browser/features/webcompat@mozilla.org.xpi
EXECUTE PATCH browser/features/screenshots@mozilla.org.xpi
EXECUTE PATCH browser/features/onboarding@mozilla.org.xpi
EXECUTE PATCH browser/features/formautofill@mozilla.org.xpi
EXECUTE PATCH browser/features/followonsearch@mozilla.com.xpi
EXECUTE PATCH browser/features/firefox@getpocket.com.xpi
EXECUTE PATCH browser/features/aushelper@mozilla.org.xpi
EXECUTE PATCH browser/features/activity-stream@mozilla.org.xpi
EXECUTE PATCH browser/blocklist.xml
EXECUTE PATCH application.ini
EXECUTE ADD fonts/TwemojiMozilla.ttf
EXECUTE ADD browser/features/webcompat-reporter@mozilla.org.xpi
EXECUTE REMOVEFILE fonts/EmojiOneMozilla.ttf
EXECUTE REMOVEFILE browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
EXECUTE REMOVEDIR browser/extensions/
FINISH PATCH updater
FINISH ADD removed-files
FINISH ADD precomplete
FINISH PATCH plugin-container.sig
FINISH PATCH plugin-container
FINISH PATCH platform.ini
FINISH PATCH pingsender
FINISH PATCH omni.ja
FINISH PATCH minidump-analyzer
FINISH PATCH libxul.so.sig
FINISH PATCH libxul.so
FINISH PATCH libssl3.so
FINISH PATCH libsoftokn3.so
FINISH ADD libsoftokn3.chk
FINISH PATCH libsmime3.so
FINISH PATCH libplds4.so
FINISH PATCH libnssutil3.so
FINISH PATCH libnssdbm3.so
FINISH ADD libnssdbm3.chk
FINISH PATCH libnssckbi.so
FINISH PATCH libnss3.so
FINISH PATCH libnspr4.so
FINISH PATCH libmozsqlite3.so
FINISH PATCH libmozsandbox.so
FINISH PATCH libmozgtk.so
FINISH PATCH libmozavutil.so
FINISH PATCH libmozavcodec.so
FINISH PATCH liblgpllibs.so
FINISH PATCH libfreeblpriv3.so
FINISH ADD libfreeblpriv3.chk
FINISH PATCH gtk2/libmozgtk.so
FINISH PATCH gmp-clearkey/0.1/libclearkey.so.sig
FINISH PATCH gmp-clearkey/0.1/libclearkey.so
FINISH PATCH firefox.sig
FINISH PATCH firefox-bin.sig
FINISH PATCH firefox-bin
FINISH PATCH firefox
FINISH PATCH dictionaries/en-US.dic
FINISH PATCH crashreporter
FINISH ADD chrome.manifest
FINISH PATCH browser/omni.ja
FINISH PATCH browser/features/webcompat@mozilla.org.xpi
FINISH PATCH browser/features/screenshots@mozilla.org.xpi
FINISH PATCH browser/features/onboarding@mozilla.org.xpi
FINISH PATCH browser/features/formautofill@mozilla.org.xpi
FINISH PATCH browser/features/followonsearch@mozilla.com.xpi
FINISH PATCH browser/features/firefox@getpocket.com.xpi
FINISH PATCH browser/features/aushelper@mozilla.org.xpi
FINISH PATCH browser/features/activity-stream@mozilla.org.xpi
FINISH PATCH browser/blocklist.xml
FINISH PATCH application.ini
FINISH ADD fonts/TwemojiMozilla.ttf
FINISH ADD browser/features/webcompat-reporter@mozilla.org.xpi
FINISH REMOVEFILE fonts/EmojiOneMozilla.ttf
FINISH REMOVEFILE browser/extensions/{972ce4c6-7e08-4474-a285-3208198ce6fd}.xpi
FINISH REMOVEDIR browser/extensions/
succeeded
calling QuitProgressUI
